Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Lag_Sales_D-7,Lag_Inventory_D-1,Target_Sales_D+7,Day_of_Week
11-02-2022,S002,P0001,Groceries,West,73,63,162,58.14,21.02,5,Sunny,0,22.69,Autumn,350,495,820,4
12-02-2022,S002,P0001,Groceries,North,289,27,185,17.22,84.12,5,Snowy,0,80.38,Summer,11,73,576,5
13-02-2022,S002,P0001,Groceries,North,150,14,130,33.96,38.46,5,Rainy,0,35.7,Winter,85,289,514,6
14-02-2022,S005,P0001,Groceries,North,135,104,103,100.12,62.65,10,Rainy,1,64.82,Summer,220,150,616,0
16-02-2022,S002,P0001,Groceries,North,410,319,171,321.38,91.59,0,Sunny,0,92.43,Summer,81,135,689,2
17-02-2022,S002,P0001,Groceries,North,188,27,95,18.57,75.54,0,Cloudy,0,73.24,Winter,16,410,691,3
18-02-2022,S004,P0001,Groceries,East,129,22,39,41.48,10.84,15,Sunny,1,13.93,Summer,266,188,439,4
20-02-2022,S005,P0001,Groceries,East,154,1,34,12.79,82.82,15,Snowy,1,86.64,Autumn,63,129,544,6
23-02-2022,S001,P0001,Groceries,West,152,129,88,134.64,27.67,15,Cloudy,0,31.03,Spring,27,154,680,2
23-02-2022,S002,P0001,Groceries,West,379,87,120,98.07,66.76,5,Cloudy,1,65.74,Spring,14,152,793,2
26-02-2022,S001,P0001,Groceries,North,167,106,55,113.33,52.53,10,Snowy,0,54.21,Spring,104,379,668,5
26-02-2022,S004,P0001,Groceries,South,451,67,83,63.24,41.2,0,Sunny,0,41.75,Winter,319,167,800,5
26-02-2022,S005,P0001,Groceries,North,305,132,53,125.88,48.35,5,Sunny,1,49.07,Autumn,27,451,787,5
27-02-2022,S005,P0001,Groceries,East,315,158,79,158.28,81.94,10,Rainy,0,77.48,Summer,22,305,918,6
01-03-2022,S002,P0001,Groceries,East,176,114,112,109.98,82.04,5,Rainy,1,78.76,Spring,1,315,1254,1
01-03-2022,S003,P0001,Groceries,North,408,4,41,6.97,33.36,15,Rainy,1,28.93,Summer,129,176,1117,1
01-03-2022,S004,P0001,Groceries,North,222,219,128,228.39,86.75,20,Rainy,1,85.88,Summer,87,408,1099,1
02-03-2022,S001,P0001,Groceries,South,216,93,120,105.56,58.52,15,Snowy,1,58.92,Winter,106,222,1415,2
02-03-2022,S005,P0001,Groceries,West,225,198,94,208.37,73.98,20,Rainy,0,76.32,Autumn,67,216,1209,2
04-03-2022,S005,P0001,Groceries,North,493,468,156,459.11,20.58,15,Sunny,1,17.27,Autumn,132,225,1205,4
06-03-2022,S002,P0001,Groceries,East,180,21,170,22.45,84.23,10,Snowy,0,82.56,Spring,158,493,1158,6
06-03-2022,S003,P0001,Groceries,South,222,96,90,90.36,32.23,20,Snowy,0,30.94,Spring,114,180,831,6
06-03-2022,S004,P0001,Groceries,North,404,320,51,322.57,93.61,10,Snowy,0,98.46,Spring,4,222,1139,6
06-03-2022,S005,P0001,Groceries,South,55,13,128,27.7,88.09,10,Sunny,0,91.19,Summer,219,404,1190,6
08-03-2022,S004,P0001,Groceries,East,319,89,25,91.46,11.47,5,Rainy,0,8.26,Summer,93,55,907,1
10-03-2022,S005,P0001,Groceries,West,296,151,71,153.15,25.05,20,Rainy,0,25.74,Autumn,198,319,1124,3
11-03-2022,S001,P0001,Groceries,North,348,141,188,155.99,46.7,10,Snowy,1,50.28,Summer,468,296,1225,4
12-03-2022,S004,P0001,Groceries,East,425,329,162,332.36,78.18,15,Cloudy,0,76.71,Summer,21,348,1207,5
13-03-2022,S002,P0001,Groceries,East,344,147,146,156.58,91.09,20,Sunny,1,86.32,Winter,96,425,1155,6
13-03-2022,S003,P0001,Groceries,East,402,37,88,49.43,47.85,15,Sunny,1,51.48,Autumn,320,344,905,6
16-03-2022,S001,P0001,Groceries,South,252,230,126,243.54,37.52,5,Cloudy,0,36.49,Autumn,13,402,816,2
16-03-2022,S002,P0001,Groceries,West,259,190,153,183.2,28.29,20,Sunny,0,29.21,Autumn,89,252,839,2
16-03-2022,S004,P0001,Groceries,North,287,133,183,128.44,29.51,5,Snowy,1,24.82,Winter,151,259,872,2
17-03-2022,S001,P0001,Groceries,South,124,89,86,102.55,30.81,15,Sunny,1,30.91,Spring,141,287,686,3
20-03-2022,S004,P0001,Groceries,North,106,79,71,72.88,71.19,10,Snowy,1,69.76,Spring,329,124,637,6
21-03-2022,S001,P0001,Groceries,North,100,58,160,73.92,75.75,15,Sunny,1,77.25,Summer,147,106,867,0
21-03-2022,S004,P0001,Groceries,North,89,60,59,65.26,17.42,15,Rainy,0,20.86,Winter,37,100,812,0
25-03-2022,S002,P0001,Groceries,South,389,263,63,265.85,81.24,15,Cloudy,1,78.73,Spring,230,89,803,4
26-03-2022,S001,P0001,Groceries,South,81,4,128,22.91,81.93,20,Snowy,1,84.51,Summer,190,389,1001,5
26-03-2022,S003,P0001,Groceries,North,148,84,150,95.27,59.79,20,Snowy,0,56.09,Spring,133,81,792,5
27-03-2022,S004,P0001,Groceries,West,496,319,177,338.79,58.35,15,Snowy,0,63.33,Winter,89,148,924,6
27-03-2022,S005,P0001,Groceries,East,272,24,138,14.28,93.24,5,Sunny,0,90.25,Winter,79,496,904,6
28-03-2022,S001,P0001,Groceries,West,393,49,57,61.96,68.54,0,Rainy,0,65.85,Summer,58,272,650,0
29-03-2022,S002,P0001,Groceries,South,300,258,109,248.55,12.76,0,Cloudy,0,11.9,Summer,60,393,776,1
29-03-2022,S004,P0001,Groceries,South,78,54,200,66.65,81.2,5,Rainy,0,77.7,Summer,263,300,1191,1
30-03-2022,S001,P0001,Groceries,South,339,136,191,154.62,32.07,0,Snowy,0,35.44,Autumn,4,78,939,2
30-03-2022,S002,P0001,Groceries,North,102,64,174,68.59,77.94,5,Snowy,1,74.72,Autumn,84,339,1050,2
31-03-2022,S005,P0001,Groceries,South,324,65,150,84.99,60.96,0,Snowy,1,62.63,Spring,319,102,1089,3
01-04-2022,S002,P0001,Groceries,South,372,150,171,149.56,62.88,10,Sunny,0,65.21,Autumn,24,324,1183,4
02-04-2022,S003,P0001,Groceries,South,493,464,146,470.66,73.15,10,Cloudy,0,73.64,Autumn,49,372,1176,5
03-04-2022,S002,P0001,Groceries,South,239,6,53,19.24,55.46,0,Sunny,0,55.48,Autumn,258,493,1278,6
05-04-2022,S001,P0001,Groceries,East,309,165,105,176.64,90.24,10,Snowy,0,94.06,Winter,54,239,875,1
05-04-2022,S004,P0001,Groceries,South,179,175,128,177.52,25.29,0,Sunny,1,24.73,Autumn,136,309,870,1
06-04-2022,S001,P0001,Groceries,West,322,158,29,174.98,23.65,10,Rainy,0,20.38,Spring,64,179,826,2
06-04-2022,S005,P0001,Groceries,South,73,58,105,67.61,46.45,5,Cloudy,1,48.28,Spring,65,322,933,2
07-04-2022,S002,P0001,Groceries,North,408,252,67,254.82,66.92,5,Sunny,1,68.5,Winter,150,73,998,3
07-04-2022,S004,P0001,Groceries,West,482,61,186,72.36,88.2,15,Cloudy,0,92.99,Spring,464,408,979,3
08-04-2022,S002,P0001,Groceries,South,137,1,24,-4.74,88.84,15,Cloudy,1,85.7,Spring,6,482,1009,4
09-04-2022,S001,P0001,Groceries,North,435,121,60,113.81,69.13,15,Cloudy,1,65.28,Spring,165,137,1306,5
09-04-2022,S003,P0001,Groceries,West,299,282,104,289.23,35.39,0,Cloudy,1,33.66,Winter,175,435,1349,5
09-04-2022,S004,P0001,Groceries,West,262,223,121,224,76.46,5,Cloudy,1,75.83,Winter,158,299,1432,5
09-04-2022,S005,P0001,Groceries,West,72,39,90,33.84,35.59,5,Snowy,1,39.17,Summer,58,262,1348,5
10-04-2022,S001,P0001,Groceries,East,292,282,200,301.68,96.48,5,Sunny,0,92.65,Summer,252,72,1178,6
11-04-2022,S001,P0001,Groceries,South,376,358,192,367.23,46.43,0,Rainy,1,50.45,Spring,61,292,1166,0
11-04-2022,S003,P0001,Groceries,South,179,44,125,39.71,47.54,20,Sunny,0,43.02,Winter,1,376,960,0
12-04-2022,S003,P0001,Groceries,East,430,204,57,216.98,59.88,0,Sunny,0,57.75,Winter,121,179,862,1
12-04-2022,S004,P0001,Groceries,South,199,198,120,204.15,12.22,10,Cloudy,1,11.25,Autumn,282,430,1262,1
13-04-2022,S004,P0001,Groceries,East,173,53,36,55.01,42.77,20,Rainy,0,46.39,Spring,223,199,1241,2
14-04-2022,S003,P0001,Groceries,North,50,27,173,23.03,32.76,5,Rainy,0,31.4,Autumn,39,173,1082,3
15-04-2022,S002,P0001,Groceries,South,117,76,143,75.51,50.13,0,Rainy,0,46.04,Autumn,282,50,1076,4
15-04-2022,S003,P0001,Groceries,East,481,260,73,261.87,57.79,15,Sunny,0,53.01,Summer,358,117,1450,4
15-04-2022,S004,P0001,Groceries,North,472,444,177,437.24,37.18,15,Sunny,1,36.92,Summer,44,481,1452,4
16-04-2022,S001,P0001,Groceries,East,445,183,43,176.76,74.81,10,Cloudy,0,78.85,Spring,204,472,1192,5
16-04-2022,S002,P0001,Groceries,North,344,39,70,53.05,72.36,20,Snowy,1,73.96,Autumn,198,445,1153,5
18-04-2022,S001,P0001,Groceries,South,319,47,185,37.98,53.83,20,Rainy,0,50.51,Winter,53,344,976,0
18-04-2022,S004,P0001,Groceries,East,423,401,196,393.42,42.84,20,Rainy,0,46.34,Spring,27,319,981,0
20-04-2022,S004,P0001,Groceries,East,230,78,180,70.55,43.15,20,Sunny,0,38.63,Autumn,76,423,963,2
21-04-2022,S005,P0001,Groceries,East,113,0,169,3.31,52.11,20,Cloudy,1,57.01,Autumn,260,230,1014,3
22-04-2022,S001,P0001,Groceries,West,407,405,68,410.98,93.83,15,Snowy,0,97.11,Autumn,444,113,1256,4
23-04-2022,S003,P0001,Groceries,South,261,6,150,25.55,73.05,15,Sunny,1,72.68,Winter,183,407,1590,5
23-04-2022,S005,P0001,Groceries,East,139,44,179,35.6,86.69,0,Cloudy,1,83.38,Spring,39,261,1288,5
24-04-2022,S005,P0001,Groceries,South,81,29,34,20.84,45.4,10,Snowy,0,48.15,Summer,47,139,1309,6
26-04-2022,S001,P0001,Groceries,South,489,452,98,442.38,29.14,10,Cloudy,0,29.25,Winter,401,81,1328,1
26-04-2022,S002,P0001,Groceries,West,448,320,76,317.69,85.07,0,Rainy,0,83.87,Winter,78,489,1325,1
28-04-2022,S001,P0001,Groceries,South,348,334,167,329.4,47.06,10,Rainy,1,49.09,Autumn,0,448,920,3
28-04-2022,S003,P0001,Groceries,South,221,103,105,118.4,41.03,15,Sunny,0,45.52,Autumn,405,348,830,3
29-04-2022,S001,P0001,Groceries,South,319,27,121,31.1,34.81,0,Rainy,1,38.71,Winter,6,221,650,4
04-05-2022,S004,P0001,Groceries,South,112,63,105,78.65,48.11,20,Sunny,0,47.44,Autumn,44,319,904,2
06-05-2022,S001,P0001,Groceries,South,253,26,79,40.4,87.62,10,Rainy,1,89.03,Spring,29,112,923,4
08-05-2022,S004,P0001,Groceries,South,71,47,30,43.69,97.07,10,Snowy,0,98.41,Autumn,452,253,1128,6
10-05-2022,S005,P0001,Groceries,East,348,230,25,238.56,98.69,5,Rainy,0,95.04,Spring,320,71,1575,1
11-05-2022,S003,P0001,Groceries,South,363,154,142,164.1,27.53,0,Snowy,0,29.13,Winter,334,348,1649,2
13-05-2022,S001,P0001,Groceries,North,496,357,36,353.82,14.24,5,Cloudy,0,12.13,Spring,103,363,1494,4
13-05-2022,S002,P0001,Groceries,North,106,46,160,57.49,68.35,20,Snowy,0,67.71,Autumn,27,496,1495,4
13-05-2022,S003,P0001,Groceries,South,343,268,66,267.46,11.99,15,Snowy,1,8.44,Autumn,63,106,1411,4
14-05-2022,S002,P0001,Groceries,East,484,473,86,480.69,94.11,20,Sunny,0,98.36,Summer,26,343,1423,5
16-05-2022,S001,P0001,Groceries,North,179,121,32,112.72,97.06,15,Sunny,1,97.63,Spring,47,484,1212,0
20-05-2022,S001,P0001,Groceries,West,340,75,71,83.43,85.99,15,Cloudy,0,90.45,Autumn,230,179,773,4
20-05-2022,S002,P0001,Groceries,East,335,155,82,171.59,51.51,20,Rainy,0,47.34,Winter,154,340,1011,4
20-05-2022,S003,P0001,Groceries,South,421,273,32,290.76,12.35,20,Cloudy,0,16.34,Summer,357,335,1077,4
23-05-2022,S004,P0001,Groceries,West,135,58,90,57.37,81.23,0,Sunny,1,79.44,Winter,46,421,955,0
23-05-2022,S005,P0001,Groceries,East,365,57,83,48.34,65.89,10,Cloudy,0,62.75,Summer,268,135,716,0
24-05-2022,S004,P0001,Groceries,West,252,34,26,37.31,41.26,15,Cloudy,0,37.98,Winter,473,365,919,1
24-05-2022,S005,P0001,Groceries,North,472,359,140,363.81,80.07,10,Cloudy,1,82.76,Spring,121,252,876,1
27-05-2022,S004,P0001,Groceries,South,163,141,137,157.73,39.61,10,Rainy,1,44.32,Summer,75,472,1006,4
28-05-2022,S002,P0001,Groceries,South,321,33,50,35.59,67.05,0,Rainy,1,68.46,Winter,155,163,665,5
29-05-2022,S002,P0001,Groceries,North,478,34,122,44.68,87.33,5,Rainy,0,84.38,Winter,273,321,576,6
01-06-2022,S002,P0001,Groceries,South,414,261,168,278.68,73.56,5,Sunny,0,74.19,Winter,58,478,780,2
02-06-2022,S003,P0001,Groceries,West,101,14,189,32.11,72.69,0,Snowy,1,71.5,Winter,57,414,938,3
05-06-2022,S001,P0001,Groceries,West,265,164,57,161.11,84.43,15,Sunny,0,80.65,Summer,34,101,767,6
05-06-2022,S004,P0001,Groceries,South,148,18,123,32.9,60.98,15,Rainy,1,62.14,Winter,359,265,1069,6
06-06-2022,S004,P0001,Groceries,North,66,52,62,67.37,54.03,5,Rainy,0,57.07,Spring,141,148,1267,0
07-06-2022,S001,P0001,Groceries,East,256,237,25,227.01,92.79,5,Cloudy,0,97.71,Autumn,33,66,1454,1
07-06-2022,S004,P0001,Groceries,West,368,192,47,192.67,56.15,5,Cloudy,1,57.58,Autumn,34,256,1710,1
08-06-2022,S001,P0001,Groceries,East,209,90,93,103.1,98.92,10,Rainy,0,103.21,Spring,261,368,1727,2
08-06-2022,S002,P0001,Groceries,North,433,316,28,307.19,59.42,10,Snowy,1,54.5,Summer,14,209,1957,2
08-06-2022,S003,P0001,Groceries,West,380,362,131,352.08,74.95,10,Rainy,1,71.2,Spring,164,433,1948,2
08-06-2022,S004,P0001,Groceries,West,371,205,191,222.38,68.63,20,Snowy,1,70.06,Summer,18,380,1655,2
10-06-2022,S003,P0001,Groceries,South,368,308,170,300.22,76.54,20,Rainy,1,75.58,Spring,52,371,1307,4
11-06-2022,S001,P0001,Groceries,East,374,254,25,253.13,13.91,5,Rainy,0,10.4,Spring,237,368,1103,5
13-06-2022,S002,P0001,Groceries,East,483,422,179,420.54,97.12,20,Rainy,1,93.44,Autumn,192,374,986,0
13-06-2022,S003,P0001,Groceries,West,92,81,187,86.87,46.13,5,Cloudy,0,43.61,Winter,90,483,912,0
13-06-2022,S004,P0001,Groceries,North,94,23,39,40.99,89.52,0,Rainy,1,91.07,Autumn,316,92,546,0
15-06-2022,S002,P0001,Groceries,South,201,14,102,12.49,51.21,15,Rainy,0,49.98,Summer,362,94,528,2
16-06-2022,S002,P0001,Groceries,North,135,1,79,20.47,59.28,5,Snowy,0,61.88,Autumn,205,201,761,3
21-06-2022,S001,P0001,Groceries,North,403,191,137,182.13,79.86,0,Snowy,1,76.93,Summer,308,135,927,1
22-06-2022,S002,P0001,Groceries,West,284,180,121,187.79,53.48,0,Snowy,1,57.61,Spring,254,403,938,2
23-06-2022,S005,P0001,Groceries,North,82,56,121,69.77,45.36,20,Snowy,1,49.03,Summer,422,284,1041,3
27-06-2022,S003,P0001,Groceries,South,456,63,171,66.87,41.55,10,Rainy,0,40.43,Spring,81,82,869,0
28-06-2022,S001,P0001,Groceries,South,332,256,55,256.57,15.81,10,Snowy,0,17.15,Winter,23,456,1030,1
29-06-2022,S005,P0001,Groceries,East,291,180,135,191.06,68.49,5,Rainy,0,70.5,Summer,14,332,1083,2
30-06-2022,S003,P0001,Groceries,East,267,12,32,21.86,11.99,0,Rainy,1,9.83,Winter,1,291,919,3
30-06-2022,S005,P0001,Groceries,South,403,294,195,313.16,44.71,20,Snowy,0,44.77,Summer,191,267,804,3
02-07-2022,S001,P0001,Groceries,East,61,8,20,-1.43,42.42,0,Cloudy,0,40.55,Autumn,180,403,796,5
03-07-2022,S002,P0001,Groceries,West,367,217,66,220.02,15.2,10,Cloudy,1,15.04,Spring,56,61,609,6
03-07-2022,S005,P0001,Groceries,South,411,116,77,129.9,57.76,10,Cloudy,1,58.18,Summer,63,367,719,6
05-07-2022,S002,P0001,Groceries,East,116,92,81,86.63,17.68,5,Rainy,1,12.76,Summer,256,411,508,1
05-07-2022,S004,P0001,Groceries,North,153,65,153,55.02,15.75,15,Sunny,1,12.05,Spring,180,116,412,1
06-07-2022,S001,P0001,Groceries,East,305,4,157,21.76,46.96,20,Rainy,1,49.08,Autumn,12,153,369,2
07-07-2022,S003,P0001,Groceries,North,235,107,177,107.59,88.95,20,Cloudy,1,86.11,Summer,294,305,345,3
08-07-2022,S001,P0001,Groceries,West,145,118,161,130.28,78.51,5,Snowy,1,79.41,Summer,8,235,429,4
09-07-2022,S001,P0001,Groceries,West,190,6,128,-0.67,56.87,20,Cloudy,0,56.37,Spring,217,145,480,5
10-07-2022,S002,P0001,Groceries,East,357,20,58,20.45,16.01,15,Rainy,1,16.67,Winter,116,190,425,6
11-07-2022,S003,P0001,Groceries,East,123,49,200,66.89,37.31,20,Snowy,1,35.67,Summer,92,357,538,0
11-07-2022,S005,P0001,Groceries,East,248,41,64,32.13,87.93,0,Rainy,1,83.86,Autumn,65,123,827,0
12-07-2022,S005,P0001,Groceries,East,326,88,25,80.49,26.87,15,Snowy,1,29.52,Summer,4,248,1011,1
13-07-2022,S003,P0001,Groceries,West,280,158,100,157.82,61.55,5,Cloudy,1,66.2,Autumn,107,326,1185,2
15-07-2022,S001,P0001,Groceries,North,82,63,80,80.63,49.01,15,Cloudy,1,45.88,Winter,118,280,1413,4
17-07-2022,S003,P0001,Groceries,East,370,119,53,127.03,69.91,10,Rainy,1,65.19,Spring,6,82,1288,6
17-07-2022,S005,P0001,Groceries,East,415,309,36,300.24,66.03,15,Sunny,0,67.78,Winter,20,370,1461,6
18-07-2022,S002,P0001,Groceries,West,338,233,33,233.85,37.96,20,Cloudy,0,34.95,Autumn,49,415,1420,0
20-07-2022,S002,P0001,Groceries,North,333,215,120,232.92,25.77,10,Rainy,1,21.62,Autumn,41,338,1197,2
20-07-2022,S003,P0001,Groceries,South,455,316,69,306.58,57.93,15,Rainy,0,54.7,Winter,88,333,992,2
21-07-2022,S003,P0001,Groceries,West,101,33,153,34.8,59.45,20,Sunny,1,60.31,Spring,158,455,923,3
23-07-2022,S001,P0001,Groceries,West,315,236,82,241.58,45.02,0,Snowy,0,47.05,Autumn,63,101,607,5
23-07-2022,S003,P0001,Groceries,East,493,78,58,73.54,51.74,15,Cloudy,0,48.11,Autumn,119,315,886,5
25-07-2022,S003,P0001,Groceries,North,456,86,151,86.27,76.39,15,Cloudy,1,74.39,Autumn,309,493,827,0
26-07-2022,S003,P0001,Groceries,South,410,28,176,28.81,88.74,5,Sunny,0,93.5,Autumn,233,456,920,1
27-07-2022,S002,P0001,Groceries,West,255,146,144,152.06,55.26,0,Rainy,0,56.13,Summer,215,410,1036,2
27-07-2022,S004,P0001,Groceries,North,247,0,181,-7.13,26.46,5,Snowy,1,22.82,Summer,316,255,1185,2
28-07-2022,S001,P0001,Groceries,South,314,312,83,308.96,74.05,15,Cloudy,1,74.41,Spring,33,247,1289,3
29-07-2022,S001,P0001,Groceries,West,304,177,41,177.06,45.77,0,Sunny,0,47.74,Autumn,236,314,1343,4
29-07-2022,S005,P0001,Groceries,West,220,171,168,178.15,80.73,0,Snowy,0,77.08,Winter,78,304,1043,4
30-07-2022,S001,P0001,Groceries,South,418,202,58,209.87,99.17,20,Cloudy,0,101.36,Winter,86,220,1034,5
31-07-2022,S003,P0001,Groceries,East,180,177,193,183.83,68.17,10,Sunny,0,64.24,Summer,28,418,925,6
31-07-2022,S004,P0001,Groceries,North,276,250,122,250.38,74.05,5,Rainy,1,74.59,Autumn,146,180,839,6
02-08-2022,S003,P0001,Groceries,East,277,54,160,63.8,97.14,5,Rainy,0,93.07,Autumn,0,276,844,1
03-08-2022,S004,P0001,Groceries,North,271,12,182,17.63,12.28,10,Rainy,0,9.95,Autumn,312,277,772,2
06-08-2022,S004,P0001,Groceries,South,457,168,166,160.13,96,20,Sunny,0,92.85,Spring,177,271,802,5
08-08-2022,S003,P0001,Groceries,East,219,62,157,59.32,60.93,10,Rainy,0,56.24,Winter,171,457,894,0
08-08-2022,S004,P0001,Groceries,North,168,116,139,115.12,50.54,15,Sunny,1,49.5,Spring,202,219,863,0
09-08-2022,S002,P0001,Groceries,West,211,182,149,187.82,92.66,5,Rainy,1,91.48,Autumn,177,168,957,1
11-08-2022,S001,P0001,Groceries,East,479,178,183,190.91,33.11,5,Rainy,0,30.79,Winter,250,211,1189,3
11-08-2022,S005,P0001,Groceries,East,251,84,48,76.35,70.07,15,Cloudy,0,74.16,Summer,54,479,1147,3
14-08-2022,S003,P0001,Groceries,West,445,104,105,116.29,85.64,15,Sunny,0,82.87,Winter,12,251,1098,6
14-08-2022,S004,P0001,Groceries,West,258,137,115,130.64,45.26,10,Rainy,1,48.13,Summer,168,445,1028,6
15-08-2022,S001,P0001,Groceries,South,187,156,51,150.99,95.07,10,Sunny,0,92.8,Spring,62,258,938,0
17-08-2022,S002,P0001,Groceries,West,461,348,58,347.07,47.9,15,Sunny,1,49.94,Autumn,116,187,983,2
19-08-2022,S003,P0001,Groceries,West,252,140,58,151.41,14.02,5,Sunny,0,11.86,Autumn,182,461,901,4
20-08-2022,S004,P0001,Groceries,North,300,129,90,130.54,49.12,5,Cloudy,0,53.14,Autumn,178,252,595,5
20-08-2022,S005,P0001,Groceries,East,239,14,100,28.21,91.07,20,Sunny,0,89.11,Summer,84,300,612,5
21-08-2022,S003,P0001,Groceries,South,192,14,176,23.15,49.4,10,Rainy,0,48.64,Summer,104,239,525,6
21-08-2022,S004,P0001,Groceries,East,332,182,142,173.34,53.23,15,Snowy,0,56.02,Winter,137,192,579,6
22-08-2022,S001,P0001,Groceries,East,248,74,114,88.75,61.73,15,Sunny,0,61.65,Winter,156,332,688,0
23-08-2022,S003,P0001,Groceries,South,189,42,167,49.58,83.56,20,Rainy,0,82.64,Winter,348,248,512,1
23-08-2022,S005,P0001,Groceries,East,401,157,112,148.04,97.09,15,Snowy,1,92.61,Winter,140,189,663,1
